,0
1060,8212
1061,5995
1062,8402
1063,2695
1064,416
1065,4782
1066,2581
1067,713
1068,2084
1069,6848
1070,252
1071,3901
1072,3911
1073,7860
1074,7142
1075,3957
1076,2174
1077,5589
1078,9538
1079,3988
1080,2515
1081,670
1082,8502
1083,6788
1084,7011
1085,4908
1086,1563
1087,5406
1088,3331
1089,9413
1090,6304
1091,7669
1092,5307
1093,8888
1094,7851
1095,6278
1096,2189
1097,5608
1098,1685
1099,4097
1100,9016
1101,8354
1102,1641
1103,299
1104,741
1105,1542
1106,9453
1107,2348
1108,2211
1109,2252
1110,8014
1111,648
1112,9142
1113,2328
1114,2717
1115,5478
1116,3459
1117,7910
1118,2064
1119,3636
1120,1013
1121,4769
1122,4734
1123,5086
1124,1424
1125,6413
1126,7321
1127,2848
1128,5793
1129,4076
1130,6970
1131,1130
1132,8375
1133,5537
1134,3509
1135,8834
1136,3069
1137,9224
1138,6059
1139,7969
1140,4428
1141,8032
1142,4453
1143,964
1144,4239
1145,725
1146,1613
1147,5682
1148,9351
1149,4980
1150,2577
1151,834
1152,167
1153,7864
1154,8892
1155,4169
1156,2056
1157,4580
1158,3019
1159,4491
1160,16
1161,3269
1162,672
1163,5924
1164,7882
1165,9681
1166,1427
1167,1740
1168,2526
1169,1995
1170,4014
1171,9831
1172,8242
1173,1504
1174,1235
1175,9458
1176,3273
1177,4268
1178,7853
1179,6618
1180,6578
1181,5481
1182,6283
1183,3501
1184,8499
1185,8520
1186,753
1187,5659
1188,2861
1189,303
1190,8082
1191,9299
1192,902
1193,216
1194,7788
1195,7970
1196,6348
1197,1113
1198,1221
1199,5462
1200,859
1201,8831
1202,8181
1203,3584
1204,8590
1205,4425
1206,511
1207,5241
1208,3046
1209,1674
1210,20
1211,6468
1212,38
1213,1076
1214,5401
1215,4962
1216,7450
1217,2840
1218,9008
1219,9519
1220,5673
1221,7309
1222,6808
1223,1561
1224,5466
1225,3942
1226,1115
1227,4237
1228,3414
1229,9961
1230,8288
1231,2879
1232,56
1233,8875
1234,6708
1235,8369
1236,5134
1237,1827
1238,4653
1239,6091
1240,3654
1241,6106
1242,6817
1243,1057
1244,6988
1245,3328
1246,9457
1247,1519
1248,2739
1249,6737
1250,1185
1251,254
1252,8574
1253,7191
1254,5200
1255,2024
1256,4665
1257,3279
1258,968
1259,4994
1260,1762
1261,3157
1262,3928
1263,7427
1264,4776
1265,7867
1266,1367
1267,9770
1268,135
1269,2603
1270,3973
1271,8883
1272,393
1273,6903
1274,7323
1275,9902
1276,8361
1277,1939
1278,25
1279,8813
1280,5588
1281,3618
1282,3134
1283,9257
1284,8285
1285,832
1286,8886
1287,4764
1288,2929
1289,7683
1290,3506
1291,3285
1292,3749
1293,6918
1294,9120
1295,3766
1296,3543
1297,2363
1298,3991
1299,8022
1300,1445
1301,1955
1302,2073
1303,4443
1304,6928
1305,3533
1306,3249
1307,2667
1308,4139
1309,5070
1310,7247
1311,5807
1312,4480
1313,3057
1314,2696
1315,3553
1316,6718
1317,3354
1318,707
1319,3916
1320,4414
1321,2909
1322,3312
1323,9612
1324,790
1325,4709
1326,2005
1327,3373
1328,8706
1329,7679
1330,680
1331,2191
1332,507
1333,8798
1334,9841
1335,4068
1336,6054
1337,6153
1338,7218
1339,1555
1340,5500
1341,7432
1342,8594
1343,839
1344,5418
1345,3756
1346,8780
1347,5789
1348,3658
1349,4950
1350,3785
1351,8261
1352,239
1353,685
1354,2364
1355,6258
1356,6710
1357,3578
1358,2646
1359,9792
1360,6266
1361,1189
1362,9067
1363,4619
1364,28
1365,8391
1366,1788
1367,3742
1368,9513
1369,5965
1370,6654
1371,9340
1372,5005
1373,1692
1374,5499
1375,4684
1376,5841
1377,7295
1378,8234
1379,9578
1380,221
1381,6952
1382,8204
1383,895
1384,9055
1385,9668
1386,4224
1387,5230
1388,6731
1389,2210
1390,6326
1391,2416
1392,3093
1393,6377
1394,6916
1395,8141
1396,9160
1397,955
1398,6720
1399,5964
1400,8518
1401,8890
1402,3420
1403,8424
1404,3264
1405,2827
1406,473
1407,7073
1408,486
1409,342
1410,1484
1411,9706
1412,3287
1413,3072
1414,5007
1415,764
1416,6802
1417,2093
1418,987
1419,2797
1420,6931
1421,4983
1422,7310
1423,7980
1424,2911
1425,1982
1426,2976
1427,3781
1428,6542
1429,8437
1430,9485
1431,7687
1432,2333
1433,2351
1434,5372
1435,4151
1436,8876
1437,3611
1438,5675
1439,9061
1440,3181
1441,2864
1442,8957
1443,8500
1444,4093
1445,861
1446,5477
1447,2401
1448,9155
1449,6655
1450,1926
1451,495
1452,1703
1453,8778
1454,6241
1455,8739
1456,1170
1457,6440
1458,9844
1459,8498
1460,4199
1461,402
1462,1972
1463,4212
1464,9537
1465,1162
1466,2597
1467,3112
1468,7415
1469,2106
1470,5829
1471,8732
1472,1763
1473,4394
1474,6941
1475,1568
1476,3628
1477,1733
1478,7341
1479,3526
1480,4874
1481,8237
1482,6932
1483,1746
1484,4200
1485,5242
1486,8538
1487,2311
1488,2935
1489,2395
1490,62
1491,2182
1492,5909
1493,2031
1494,2599
1495,8170
1496,1625
1497,7132
1498,2707
1499,4223
1500,4759
1501,3084
1502,1785
1503,6230
1504,3210
1505,7235
1506,6934
1507,2558
1508,5131
1509,1254
1510,5527
1511,1310
1512,2459
1513,4067
1514,5109
1515,2249
1516,417
1517,6961
1518,3803
1519,9009
1520,105
1521,663
1522,1438
1523,538
1524,8097
1525,2240
1526,7241
1527,8253
1528,9181
1529,3685
1530,8978
1531,4094
1532,7688
1533,4278
1534,2482
1535,6989
1536,914
1537,2716
1538,5911
1539,1675
1540,4143
1541,6291
1542,2921
1543,3233
1544,3918
1545,8062
1546,9450
1547,1787
1548,564
1549,6660
1550,8466
1551,8976
1552,7658
1553,1352
1554,217
1555,492
1556,6645
1557,1708
1558,8177
1559,5940
1560,8250
1561,77
1562,961
1563,9212
1564,8165
1565,3088
1566,5936
1567,2510
1568,9089
1569,5551
1570,5263
1571,4866
1572,9746
1573,8461
1574,1777
1575,8707
1576,5123
1577,5957
1578,1684
1579,1327
1580,2313
1581,9982
1582,4528
1583,4207
1584,5209
1585,2235
1586,8079
1587,4304
1588,2432
1589,7983
1590,8272
1591,34
1592,147
1593,8216
1594,8806
1595,7029
1596,177
1597,4452
1598,1147
1599,3415
1600,9888
1601,8038
1602,5487
1603,4918
1604,2369
1605,5163
1606,7551
1607,8662
1608,6228
1609,3774
1610,9193
1611,6087
1612,7046
1613,6963
1614,4405
1615,3572
1616,3199
1617,5064
1618,2754
1619,1068
1620,8655
1621,9332
1622,7814
1623,637
1624,9185
1625,3246
1626,810
1627,1958
1628,2370
1629,7104
1630,4154
1631,907
1632,3330
1633,7315
1634,1680
1635,5282
1636,8565
1637,2849
1638,22
1639,9722
1640,7892
1641,6605
1642,5383
1643,1704
1644,2319
1645,9371
1646,1970
1647,6312
1648,8277
1649,298
1650,9579
1651,480
1652,5808
1653,8144
1654,5254
1655,4584
1656,4821
1657,8653
1658,2466
1659,6673
1660,4246
1661,5861
1662,1864
1663,9077
1664,3807
1665,6532
1666,3464
1667,3434
1668,4877
1669,7375
1670,2832
1671,9070
1672,4156
1673,1321
1674,7673
1675,1700
1676,4736
1677,2067
1678,9586
1679,7930
1680,386
1681,2404
1682,4288
1683,6101
1684,4374
1685,5641
1686,2304
1687,356
1688,4355
1689,9860
1690,4217
1691,8267
1692,5703
1693,6732
1694,967
1695,4391
1696,5232
1697,6210
1698,8909
1699,1586
1700,2023
1701,5726
1702,251
1703,9477
1704,2478
1705,2802
1706,4404
1707,7735
1708,8930
1709,7991
1710,8953
1711,7954
1712,6097
1713,1266
1714,3229
1715,9488
1716,1067
1717,539
1718,9621
1719,2508
1720,1442
1721,3225
1722,608
1723,7211
1724,9381
1725,450
1726,2086
1727,2699
1728,4383
1729,7
1730,3484
1731,7216
1732,2220
1733,244
1734,7772
1735,6103
1736,9906
1737,3527
1738,2468
1739,8146
1740,1576
1741,5809
1742,7288
1743,4145
1744,8537
1745,8186
1746,1061
1747,7677
1748,6771
1749,3491
1750,2032
1751,7182
1752,5933
1753,9536
1754,5845
1755,5380
1756,9232
1757,8690
1758,4574
1759,1942
1760,4625
1761,4497
1762,7648
1763,9209
1764,5398
1765,5862
1766,698
1767,4583
1768,479
1769,7587
1770,2835
1771,5507
1772,6762
1773,9344
1774,3980
1775,3401
1776,1010
1777,7452
1778,6280
1779,1887
1780,9280
1781,7122
1782,3461
1783,137
1784,6505
1785,2989
1786,8894
1787,774
1788,7828
1789,333
1790,8822
1791,1197
1792,8421
1793,5639
1794,1190
1795,9931
1796,6327
1797,3366
1798,8349
1799,9780
1800,7633
1801,2241
1802,6164
1803,9970
1804,463
1805,4331
1806,1683
1807,151
1808,5526
1809,5042
1810,4651
1811,7598
1812,3211
1813,4795
1814,8264
1815,9000
1816,191
1817,9119
1818,4529
1819,4845
1820,8004
1821,9210
1822,8262
1823,6350
1824,4160
1825,7553
1826,6122
1827,1537
1828,7376
1829,1678
1830,8380
1831,8406
1832,1338
1833,1286
1834,654
1835,7813
1836,4368
1837,4451
1838,2316
1839,4777
1840,3497
1841,5887
1842,9049
1843,3024
1844,2905
1845,8202
1846,2908
1847,2130
1848,3276
1849,5785
1850,7664
1851,2060
1852,4925
1853,7821
1854,9474
1855,2715
1856,9264
1857,4040
1858,7929
1859,7001
1860,8322
1861,5630
1862,291
1863,4952
1864,825
1865,4639
1866,1581
1867,1865
1868,2650
1869,5279
1870,5224
1871,6335
1872,2851
1873,991
1874,4416
1875,852
1876,3585
1877,8450
1878,2596
1879,9282
1880,6431
1881,9103
1882,2675
1883,6048
1884,1022
1885,9245
1886,2044
1887,6032
1888,6311
1889,5176
1890,319
1891,1920
1892,2702
1893,9057
1894,8878
1895,7374
1896,2823
1897,2095
1898,162
1899,6979
1900,7535
1901,1848
1902,4964
1903,9728
1904,5335
1905,8331
1906,9593
1907,429
1908,6158
1909,7489
1910,1745
1911,54
1912,6969
1913,3337
1914,185
1915,7125
1916,3886
1917,2108
1918,8411
1919,7395
1920,4544
1921,3566
1922,7313
1923,6066
1924,1514
1925,4617
1926,4273
1927,6307
1928,4885
1929,9903
1930,4666
1931,2413
1932,3408
1933,5838
1934,2775
1935,4499
1936,4971
1937,8665
1938,7580
1939,4657
1940,5073
1941,1133
1942,6128
1943,320
1944,563
1945,878
1946,6383
1947,1562
1948,7330
1949,9829
1950,1918
1951,4361
1952,9937
1953,8895
1954,2483
1955,8412
1956,447
1957,3452
1958,5323
1959,4245
1960,2317
1961,4742
1962,3834
1963,2856
1964,6564
1965,305
1966,6459
1967,7561
1968,4498
1969,7377
1970,5236
1971,8087
1972,9259
1973,8207
1974,2806
1975,1240
1976,5962
1977,4475
1978,3906
1979,4079
1980,5605
1981,3038
1982,8913
1983,1609
1984,6252
1985,5859
1986,8247
1987,2863
1988,2738
1989,3023
1990,1657
1991,6829
1992,8189
1993,7053
1994,3266
1995,8606
1996,8076
1997,7767
1998,8073
1999,1672
2000,4234
2001,1767
2002,8178
2003,3379
2004,5573
2005,8308
2006,1237
2007,9988
2008,3044
2009,1809
2010,2701
2011,1347
2012,2659
2013,5847
2014,9600
2015,7047
2016,4037
2017,8898
2018,9692
2019,9588
2020,5369
2021,1549
2022,8103
2023,3139
2024,6343
2025,2756
2026,9840
2027,769
2028,3041
2029,4711
2030,1090
2031,8353
2032,1393
2033,5626
2034,3643
2035,7981
2036,100
2037,1011
2038,6402
2039,9776
2040,8836
2041,8728
2042,9715
2043,9848
2044,9646
2045,8009
2046,8649
2047,4884
2048,5299
2049,9253
2050,5961
2051,6067
2052,8752
2053,4044
2054,6224
2055,5580
2056,5204
2057,7647
2058,4978
2059,5461
2060,2941
2061,4838
2062,8992
2063,7527
2064,7462
2065,4689
2066,426
2067,5610
2068,9759
2069,9574
2070,6794
2071,340
2072,6471
2073,1698
2074,2090
2075,6361
2076,4928
2077,2338
2078,1976
2079,9325
2080,7371
2081,1203
2082,4592
2083,6518
2084,3469
2085,1255
2086,8917
2087,2883
2088,2768
2089,6619
2090,1813
2091,6725
2092,6121
2093,116
2094,8221
2095,4307
2096,3140
2097,5006
2098,7200
2099,9940
2100,7476
2101,6584
2102,2505
2103,600
2104,4698
2105,8330
2106,6052
2107,7025
2108,6885
2109,8171
2110,134
2111,4402
2112,3818
2113,9499
2114,8374
2115,8276
2116,7463
2117,3523
2118,6978
2119,9567
2120,3335
2121,7274
2122,4679
2123,7584
2124,3381
2125,9986
2126,1079
2127,3318
2128,3275
2129,7534
2130,273
2131,7005
2132,164
2133,1755
2134,4275
2135,5714
2136,2742
2137,2112
2138,5963
2139,2160
2140,646
2141,3339
2142,5250
2143,802
2144,2913
2145,6539
2146,2876
2147,2074
2148,9090
2149,405
2150,5445
2151,4102
2152,6942
2153,5442
2154,6602
2155,7801
2156,2872
2157,5245
2158,4638
2159,8848
2160,9498
2161,5633
2162,7906
2163,9791
2164,2264
2165,4359
2166,9763
2167,9133
2168,8942
2169,6215
2170,9569
2171,7576
2172,5344
2173,8576
2174,7012
2175,4378
2176,5376
2177,8001
2178,2677
2179,288
2180,9672
2181,5091
2182,3898
2183,7972
2184,8370
2185,4702
2186,6633
2187,9563
2188,9556
2189,6974
2190,1980
2191,5154
2192,6411
2193,876
2194,3708
2195,1929
2196,6452
2197,6643
2198,6290
2199,6582
2200,4828
2201,9664
2202,365
2203,7317
2204,9164
2205,5799
2206,5311
2207,2232
2208,5725
2209,4904
2210,8269
2211,3178
2212,1707
2213,2574
2214,7268
2215,8083
2216,7695
2217,1283
2218,6026
2219,9885
2220,5649
2221,476
2222,4634
2223,5166
2224,2867
2225,589
2226,7671
2227,1042
2228,9261
2229,6480
2230,4762
2231,6967
2232,5227
2233,9992
2234,253
2235,7792
2236,4069
2237,4936
2238,2663
2239,8675
2240,7593
2241,3772
2242,8481
2243,1357
2244,815
2245,2567
2246,1837
2247,7199
2248,9974
2249,2029
2250,4267
2251,9341
2252,7700
2253,3074
2254,7564
2255,6201
2256,5337
2257,9402
2258,1978
2259,7708
2260,3248
2261,1394
2262,2059
2263,5877
2264,5188
2265,8425
2266,3251
2267,4717
2268,4241
2269,9
2270,6574
2271,3828
2272,8343
2273,1821
2274,1058
2275,4073
2276,6853
2277,4099
2278,2125
2279,5567
2280,5501
2281,4203
2282,5314
2283,9314
2284,2409
2285,9467
2286,4682
2287,4007
2288,9742
2289,6479
2290,7998
2291,9694
2292,6704
2293,6570
2294,6886
2295,9832
2296,6251
2297,9589
2298,7748
2299,7936
2300,2193
2301,6305
2302,5586
2303,1800
2304,5348
2305,4433
2306,1677
2307,371
2308,5233
2309,9799
2310,7973
2311,5361
2312,7248
2313,3206
2314,267
2315,8275
2316,3599
2317,4104
2318,2298
2319,8091
2320,5334
2321,2300
2322,2928
2323,9864
2324,9198
2325,6111
2326,3709
2327,7918
2328,2486
2329,820
2330,1358
2331,4286
2332,7074
2333,2318
2334,76
2335,9433
2336,9083
2337,178
2338,5392
2339,4005
2340,5710
2341,1208
2342,7379
2343,8021
2344,8762
2345,4800
2346,528
2347,4525
2348,9472
2349,2690
2350,1382
2351,1766
2352,3561
2353,2892
2354,5033
2355,4389
2356,1320
2357,7491
2358,3897
2359,8243
2360,1204
2361,9330
2362,664
2363,6504
2364,8734
2365,7153
2366,8548
2367,1643
2368,9376
2369,4955
2370,9051
2371,2666
2372,3617
2373,8099
2374,1923
2375,2166
2376,4778
2377,7716
2378,8168
2379,8912
2380,6037
2381,6145
2382,7066
2383,4230
2384,604
2385,2998
2386,7545
2387,7912
2388,6870
2389,3182
2390,4799
2391,2161
2392,9720
2393,4413
2394,6206
2395,2889
2396,7810
2397,8893
2398,2745
2399,612
2400,8039
2401,4922
2402,3591
2403,6271
2404,2612
2405,6173
2406,8077
2407,5130
2408,3821
2409,7731
2410,4516
2411,3810
2412,1071
2413,5656
2414,885
2415,2227
2416,4677
2417,1689
2418,1095
2419,3868
2420,2593
2421,3290
2422,2532
2423,377
2424,7915
2425,7919
2426,53
2427,8315
2428,8246
2429,1429
2430,9270
2431,355
2432,3796
2433,3218
2434,8654
2435,2020
2436,6124
2437,12
2438,7413
2439,1491
2440,4593
2441,8066
2442,8582
2443,1250
2444,1365
2445,2552
2446,8560
2447,5449
2448,4714
2449,8290
2450,6521
2451,7244
2452,9713
2453,9614
2454,9315
2455,517
2456,1836
2457,7770
2458,1492
2459,4174
2460,4940
2461,7640
2462,5244
2463,8987
2464,2705
2465,5618
2466,6975
2467,7428
2468,1856
2469,2105
2470,8036
2471,2753
2472,5157
2473,7878
2474,6623
2475,990
2476,5883
2477,4048
2478,525
2479,6927
2480,5483
2481,3495
2482,408
2483,7263
2484,4461
2485,5318
2486,1478
2487,2572
2488,5056
2489,1007
2490,8635
2491,3961
2492,1206
2493,3528
2494,3770
2495,9837
2496,4424
2497,3929
2498,3877
2499,809
2500,2156
2501,6579
2502,7499
2503,3750
2504,9590
2505,8794
2506,2810
2507,5294
2508,8376
2509,7204
2510,4381
2511,101
2512,4944
2513,7209
2514,731
2515,5746
2516,2109
2517,2562
2518,2102
2519,8335
2520,2418
2521,8472
2522,5557
2523,9887
2524,3958
2525,8132
2526,3460
2527,3096
2528,9758
2529,3530
2530,9042
2531,2654
2532,4399
2533,6980
2534,4362
2535,8511
2536,3073
2537,9439
2538,3267
2539,7078
